ID	Classification
ID	SC %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_114	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_115	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_116	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_36	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_38	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_39	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_40	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_41	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_43	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_44	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_45	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_46	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_47	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_48	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_49	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_50	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_51	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_52	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_53	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_54	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_55	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_56	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_57	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_70	CL:4023008
